url,format,height,width
https://static01.nyt.com/images/2022/11/08/well/31Well-SleepRX/31Well-SleepRX-thumbStandard.jpg,Standard Thumbnail,75,75
https://static01.nyt.com/images/2022/11/08/well/31Well-SleepRX/31Well-SleepRX-mediumThreeByTwo210.jpg,mediumThreeByTwo210,140,210
https://static01.nyt.com/images/2022/11/08/well/31Well-SleepRX/31Well-SleepRX-mediumThreeByTwo440.jpg,mediumThreeByTwo440,293,440
https://static01.nyt.com/images/2022/11/05/opinion/04friedman1/04friedman1-thumbStandard.jpg,Standard Thumbnail,75,75
https://static01.nyt.com/images/2022/11/05/opinion/04friedman1/04friedman1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,140,210
https://static01.nyt.com/images/2022/11/05/opinion/04friedman1/04friedman1-mediumThreeByTwo440.jpg,mediumThreeByTwo440,293,440
https://static01.nyt.com/images/2022/11/08/multimedia/26WNT-ROWING-WORKOUT5-1-310a/26WNT-ROWING-WORKOUT5-1-310a-thumbStandard-v2.jpg,Standard Thumbnail,75,75
https://static01.nyt.com/images/2022/11/08/multimedia/26WNT-ROWING-WORKOUT5-1-310a/26WNT-ROWING-WORKOUT5-1-310a-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,140,210
https://static01.nyt.com/images/2022/11/08/multimedia/26WNT-ROWING-WORKOUT5-1-310a/26WNT-ROWING-WORKOUT5-1-310a-mediumThreeByTwo440-v2.jpg,mediumThreeByTwo440,293,440
https://static01.nyt.com/images/2022/11/08/opinion/05dowd-image/05dowd-image-thumbStandard.jpg,Standard Thumbnail,75,75
https://static01.nyt.com/images/2022/11/08/opinion/05dowd-image/05dowd-image-mediumThreeByTwo210.jpg,mediumThreeByTwo210,140,210
https://static01.nyt.com/images/2022/11/08/opinion/05dowd-image/05dowd-image-mediumThreeByTwo440.jpg,mediumThreeByTwo440,293,440
https://static01.nyt.com/images/2022/11/03/t-magazine/03tmag-spain-slide-9VKO-copy/03tmag-spain-slide-9VKO-copy-thumbStandard.jpg,Standard Thumbnail,75,75
https://static01.nyt.com/images/2022/11/03/t-magazine/03tmag-spain-slide-9VKO-copy/03tmag-spain-slide-9VKO-copy-mediumThreeByTwo210.jpg,mediumThreeByTwo210,140,210
https://static01.nyt.com/images/2022/11/03/t-magazine/03tmag-spain-slide-9VKO-copy/03tmag-spain-slide-9VKO-copy-mediumThreeByTwo440.jpg,mediumThreeByTwo440,293,440
https://static01.nyt.com/images/2022/11/05/arts/04streisand1/04streisand1-thumbStandard.jpg,Standard Thumbnail,75,75
https://static01.nyt.com/images/2022/11/05/arts/04streisand1/04streisand1-mediumThreeByTwo210.jpg,mediumThreeByTwo210,140,210
